Time,V(Out),
0,1.9999713336387939,
0.0001,1.9999713336387939,
0.0002,1.9999713336387939,
0.0003,1.9999713336387939,
0.0004,1.9999713336387939,
0.0005,1.9999713336387939,
0.0006,1.9999713336387939,
0.0007,1.9999713336387939,
0.0008,1.9999713336387939,
0.0009,1.9999713336387939,
0.001,-1.9931365204029108,
0.0011,-1.9999626400322208,
0.0012,-1.9999713237701506,
0.0013,-1.9999713336274958,
0.0014,-1.9999713336380496,
0.0015,-1.9999713336380605,
0.0016,-1.9999713336380605,
0.0017,-1.9999713336380605,
0.0018,-1.9999713336380605,
0.0019,-1.9999713336380605,
0.002,1.9931365204036442,
0.0021,1.9999626400329542,
0.0022,1.999971323770884,
0.0023,1.9999713336282292,
0.0024,1.999971333638783,
0.0025,1.9999713336387939,
0.0026,1.9999713336387939,
0.0027,1.9999713336387939,
0.0028,1.9999713336387939,
0.0029,1.9999713336387939,
0.003,-1.9931365204029108,
0.0031,-1.9999626400322208,
0.0032,-1.9999713237701506,
0.0033,-1.9999713336274958,
0.0034,-1.9999713336380496,
0.0035,-1.9999713336380605,
0.0036,-1.9999713336380605,
0.0037,-1.9999713336380605,
0.0038,-1.9999713336380605,
0.0039,-1.9999713336380605,
0.004,1.9931365204036442,
0.0041,1.9999626400329542,
0.0042,1.999971323770884,
0.0043,1.9999713336282292,
0.0044,1.999971333638783,
0.0045,1.9999713336387939,
0.0046,1.9999713336387939,
0.0047,1.9999713336387939,
0.0048,1.9999713336387939,
0.0049,1.9999713336387939,
0.005,-1.9931365204029108,
0.0051,-1.9999626400322208,
0.0052,-1.9999713237701506,
0.0053,-1.9999713336274958,
0.0054,-1.9999713336380496,
0.0055,-1.9999713336380605,
0.0056,-1.9999713336380605,
0.0057,-1.9999713336380605,
0.0058,-1.9999713336380605,
0.0059,-1.9999713336380605,
0.006,1.9931365204036442,
0.0061,1.9999626400329542,
0.0062,1.999971323770884,
0.0063,1.9999713336282292,
0.0064,1.999971333638783,
0.0065,1.9999713336387939,
0.0066,1.9999713336387939,
0.0067,1.9999713336387939,
0.0068,1.9999713336387939,
0.0069,1.9999713336387939,
0.007,-1.9931365204029108,
0.0071,-1.9999626400322208,
0.0072,-1.9999713237701506,
0.0073,-1.9999713336274958,
0.0074,-1.9999713336380496,
0.0075,-1.9999713336380605,
0.0076,-1.9999713336380605,
0.0077,-1.9999713336380605,
0.0078,-1.9999713336380605,
0.0079,-1.9999713336380605,
0.008,1.9931365204036442,
0.0081,1.9999626400329542,
0.0082,1.999971323770884,
0.0083,1.9999713336282292,
0.0084,1.999971333638783,
0.0085,1.9999713336387939,
0.0086,1.9999713336387939,
0.0087,1.9999713336387939,
0.0088,1.9999713336387939,
0.0089,1.9999713336387939,
0.009,1.9999713336387939,
0.0091,-1.9931365204029108,
0.0092,-1.9999626400322208,
0.0093,-1.9999713237701506,
0.0094,-1.9999713336274958,
0.0095,-1.9999713336380496,
0.0096,-1.9999713336380605,
0.0097,-1.9999713336380605,
0.0098,-1.9999713336380605,
0.0099,-1.9999713336380605,
0.01,1.9931365204036442,
0.0101,1.9999626400329542,
0.0102,1.999971323770884,
0.0103,1.9999713336282292,
0.0104,1.999971333638783,
0.0105,1.9999713336387939,
0.0106,1.9999713336387939,
0.0107,1.9999713336387939,
0.0108,1.9999713336387939,
0.0109,1.9999713336387939,
0.011,1.9999713336387939,
0.0111,-1.9931365204029108,
0.0112,-1.9999626400322208,
0.0113,-1.9999713237701506,
0.0114,-1.9999713336274958,
0.0115,-1.9999713336380496,
0.0116,-1.9999713336380605,
0.0117,-1.9999713336380605,
0.0118,-1.9999713336380605,
0.0119,-1.9999713336380605,
0.012,1.9931365204036442,
0.0121,1.9999626400329542,
0.0122,1.999971323770884,
0.0123,1.9999713336282292,
0.0124,1.999971333638783,
0.0125,1.9999713336387939,
0.0126,1.9999713336387939,
0.0127,1.9999713336387939,
0.0128,1.9999713336387939,
0.0129,1.9999713336387939,
0.013,1.9999713336387939,
0.0131,-1.9931365204029108,
