Time,V(OUT1),
0,7.333175671153312e-13,
0.00001,0.16864564459333492,
0.00002,0.34083968629024813,
0.00003,0.511601603341636,
0.00004,0.6800902023800348,
0.00005,0.8455598204113658,
0.00006,1.0072840430423151,
0.00007,1.1645584677808436,
0.00008,1.316704774784288,
0.00009,1.4630746502392504,
0.0001,1.6030535110551505,
0.00011,1.7360640058735861,
0.00012,1.8615692693816346,
0.00013,1.979075908632087,
0.00014,2.088136701927805,
0.00015,2.188352992815256,
0.00016,2.2793767638399935,
0.00017,2.3609123769296927,
0.00018,2.4327179695727064,
0.00019,2.4946064983359695,
0.0002,2.546446423698692,
0.00021,2.5881620326506525,
0.00022,2.619733397998715,
0.00023,2.6411959758249437,
0.00024,2.652639845026931,
0.00025,2.6542085953282055,
0.00026,2.6460978725567497,
0.00027,2.628553592335765,
0.00028,2.601869835596608,
0.00029,2.566386441493309,
0.0003,2.5224863153562733,
0.00031,2.470592471255174,
0.00032,2.411164830534297,
0.00033,2.344696799325136,
0.00034,2.271711649519522,
0.00035,2.1927587289916595,
0.00036,2.108409527980176,
0.00037,2.019253629473871,
0.00038,1.9258945721808762,
0.00039,1.8289456551954162,
0.0004,1.7290257138056522,
0.00041,1.6267548960080687,
0.00042,1.5227504692078242,
0.00043,1.4176226862912358,
0.00044,1.311970739758249,
0.00045,1.206378831903201,
0.00046,1.1014123881362896,
0.00047,0.9976144394526459,
0.00048,0.8955021987883296,
0.00049,0.7955638545622457,
0.0005,0.698255603100054,
0.00051,0.6039989398821781,
0.00052,0.5131782276654344,
0.00053,0.42613855751019475,
0.00054,0.3431839166165966,
0.00055,0.26457567464937903,
0.00056,0.1905313979271828,
0.00057,0.12122399848502949,
0.00058,0.05678122260493048,
0.00059,-0.002714519033629379,
0.0006,-0.05722597988696411,
0.00061,-0.10676056751793857,
0.00062,-0.15136950018537448,
0.00063,-0.19114663762096187,
0.00064,-0.22622699589335546,
0.00065,-0.2567849585168289,
0.00066,-0.2830321981302183,
0.00067,-0.30521532513575783,
0.00068,-0.32361328163202036,
0.00069,-0.3385345007869558,
0.0007,-0.35031385346294336,
0.00071,-0.3593094054143376,
0.00072,-0.36589900971824946,
0.00073,-0.3704767602620621,
0.00074,-0.37344933308806916,
0.00075,-0.3752322431798005,
0.00076,-0.3762460448606519,
0.00077,-0.37691250435904766,
0.00078,-0.37765077327312013,
0.00079,-0.3788735916403064,
0.0008,-0.38098354908384024,
0.00081,-0.38436943207029256,
0.00082,-0.3894026846735092,
0.00083,-0.39643400940481655,
0.00084,-0.4057901336434267,
0.00085,-0.4177707659916879,
0.00086,-0.43264576549596984,
0.00087,-0.45065254512528313,
0.00088,-0.4719937291973242,
0.00089,-0.4968350825975463,
0.0009,-0.5253037276642908,
0.00091,-0.5574866625258766,
0.00092,-0.5934295924888625,
0.00093,-0.6331360838058052,
0.00094,-0.6765670468120747,
0.00095,-0.7236405530311848,
0.00096,-0.7742319884236399,
0.00097,-0.8281745425128479,
0.00098,-0.8852600306803947,
0.00099,-0.945240044499487,
0.001,-1.0078274225866795,
0.00101,-1.0726980321153639,
0.00102,-1.1394928488662757,
0.00103,-1.2078203215068732,
0.00104,-1.2772590037082503,
0.00105,-1.3473604357402564,
0.00106,-1.4176522553465558,
0.00107,-1.4876415160049254,
0.00108,-1.5568181891358828,
0.00109,-1.6246588254462073,
0.0011,-1.6906303493925687,
0.00111,-1.754193959733289,
0.00112,-1.814809108310255,
0.00113,-1.87193752857444,
0.00114,-1.9250472849416844,
0.00115,-1.9736168138438426,
0.00116,-2.0171389273254463,
0.00117,-2.055124750228302,
0.00118,-2.087107562404394,
0.00119,-2.11264651799871,
0.0012,-2.13133021464383,
0.00121,-2.142780086401991,
0.00122,-2.1466535954708186,
0.00123,-2.1426471990279325,
0.00124,-2.1304990691176546,
0.00125,-2.1099915451694318,
0.00126,-2.0809533005705583,
0.00127,-2.0432612066824856,
0.00128,-1.996841879776721,
0.00129,-1.9416728985583922,
0.0013,-1.8777836822275913,
0.00131,-1.8052560213846636,
0.00132,-1.7242242564990096,
0.00133,-1.6348751011149814,
0.00134,-1.537447109445544,
0.00135,-1.4322297904873675,
0.00136,-1.319562373262361,
0.00137,-1.1998322302328743,
0.00138,-1.07347296833387,
0.00139,-0.9409621993982732,
0.0014,-0.8028190040050577,
0.00141,-0.6596011049375863,
0.00142,-0.51190176848698,
0.00143,-0.3603464537575078,
0.00144,-0.20558923191449732,
0.00145,-0.04830899894751972,
