Time,V(NODE1),
0,0,
0.00001,-1.98,
0.00002,-1.96,
0.00003,-1.94,
0.00004,-1.92,
0.00005,-1.9,
0.00006,-1.88,
0.00007,-1.86,
0.00008,-1.84,
0.00009,-1.82,
0.0001,-1.8,
0.00011,-1.78,
0.00012,-1.76,
0.00013,-1.74,
0.00014,-1.72,
0.00015,-1.7,
0.00016,-1.68,
0.00017,-1.6600000000000001,
0.00018,-1.6400000000000001,
0.00019,-1.62,
0.0002,-1.6,
0.00021,-1.58,
0.00022,-1.56,
0.00023,-1.54,
0.00024,-1.52,
0.00025,-1.5,
0.00026,-1.48,
0.00027,-1.46,
0.00028,-1.44,
0.00029,-1.42,
0.0003,-1.4,
0.00031,-1.38,
0.00032,-1.3599999999999999,
0.00033,-1.34,
0.00034,-1.32,
0.00035,-1.3,
0.00036,-1.28,
0.00037,-1.2600000000000002,
0.00038,-1.2400000000000002,
0.00039,-1.22,
0.0004,-1.2,
0.00041,-1.1800000000000002,
0.00042,-1.1600000000000001,
0.00043,-1.1400000000000001,
0.00044,-1.12,
0.00045,-1.1,
0.00046,-1.08,
0.00047,-1.06,
0.00048,-1.04,
0.00049,-1.02,
0.0005,-1,
0.00051,-0.98,
0.00052,-0.9600000000000002,
0.00053,-0.94,
0.00054,-0.9199999999999999,
0.00055,-0.8999999999999999,
0.00056,-0.8800000000000001,
0.00057,-0.8600000000000001,
0.00058,-0.8400000000000001,
0.00059,-0.8200000000000001,
0.0006,-0.8,
0.00061,-0.78,
0.00062,-0.76,
0.00063,-0.74,
0.00064,-0.72,
0.00065,-0.7000000000000002,
0.00066,-0.6800000000000002,
0.00067,-0.6599999999999999,
0.00068,-0.6400000000000001,
0.00069,-0.6200000000000001,
0.0007,-0.6000000000000001,
0.00071,-0.5800000000000001,
0.00072,-0.56,
0.00073,-0.54,
0.00074,-0.5200000000000002,
0.00075,-0.5,
0.00076,-0.4800000000000002,
0.00077,-0.4600000000000002,
0.00078,-0.43999999999999995,
0.00079,-0.42000000000000015,
0.0008,-0.3999999999999999,
0.00081,-0.3800000000000001,
0.00082,-0.3600000000000003,
0.00083,-0.3400000000000001,
0.00084,-0.32000000000000006,
0.00085,-0.30000000000000027,
0.00086,-0.28,
0.00087,-0.26000000000000023,
0.00088,-0.24,
0.00089,-0.2200000000000002,
0.0009,-0.20000000000000018,
0.00091,-0.18000000000000016,
0.00092,-0.15999999999999992,
0.00093,-0.14000000000000012,
0.00094,-0.1200000000000001,
0.00095,-0.10000000000000009,
0.00096,-0.08000000000000007,
0.00097,-0.06000000000000005,
0.00098,-0.040000000000000036,
0.00099,-0.02000000000000024,
0.001,0,
0.00101,0.020000000000000018,
0.00102,0.040000000000000036,
0.00103,0.06000000000000005,
0.00104,0.07999999999999963,
0.00105,0.09999999999999964,
0.00106,0.1200000000000001,
0.00107,0.13999999999999968,
0.00108,0.16000000000000014,
0.00109,0.17999999999999972,
0.0011,0.20000000000000018,
0.00111,0.2200000000000002,
0.00112,0.23999999999999977,
0.00113,0.2599999999999998,
0.00114,0.2799999999999998,
0.00115,0.2999999999999998,
0.00116,0.31999999999999984,
0.00117,0.33999999999999986,
0.00118,0.3599999999999999,
0.00119,0.3799999999999999,
0.0012,0.3999999999999999,
0.00121,0.4199999999999995,
0.00122,0.43999999999999995,
0.00123,0.4599999999999995,
0.00124,0.48,
0.00125,0.5,
0.00126,0.52,
0.00127,0.54,
0.00128,0.56,
0.00129,0.5799999999999996,
0.0013,0.5999999999999996,
0.00131,0.6200000000000001,
0.00132,0.6399999999999997,
0.00133,0.6599999999999997,
0.00134,0.6800000000000002,
0.00135,0.7000000000000002,
0.00136,0.7199999999999998,
0.00137,0.7399999999999998,
0.00138,0.7599999999999998,
0.00139,0.7799999999999994,
0.0014,0.7999999999999998,
0.00141,0.8199999999999998,
0.00142,0.8399999999999999,
0.00143,0.8600000000000003,
0.00144,0.8799999999999999,
0.00145,0.8999999999999995,
0.00146,0.9199999999999999,
0.00147,0.94,
0.00148,0.9599999999999995,
0.00149,0.9799999999999995,
0.0015,1,
0.00151,1.02,
0.00152,1.0399999999999996,
0.00153,1.0599999999999996,
0.00154,1.0799999999999996,
0.00155,1.0999999999999996,
0.00156,1.12,
0.00157,1.1399999999999997,
0.00158,1.1599999999999997,
0.00159,1.1800000000000002,
0.0016,1.2000000000000002,
0.00161,1.2199999999999998,
0.00162,1.2399999999999998,
0.00163,1.2599999999999998,
0.00164,1.2799999999999994,
0.00165,1.2999999999999998,
0.00166,1.3199999999999998,
0.00167,1.3399999999999999,
0.00168,1.3599999999999999,
0.00169,1.38,
0.0017,1.3999999999999995,
0.00171,1.42,
0.00172,1.44,
0.00173,1.4599999999999995,
0.00174,1.4799999999999995,
0.00175,1.5,
0.00176,1.52,
0.00177,1.5399999999999996,
0.00178,1.5599999999999996,
0.00179,1.5799999999999996,
0.0018,1.5999999999999996,
0.00181,1.62,
0.00182,1.6399999999999997,
0.00183,1.6599999999999997,
0.00184,1.6800000000000002,
0.00185,1.7000000000000002,
0.00186,1.7199999999999998,
0.00187,1.7399999999999998,
0.00188,1.7599999999999998,
0.00189,1.7799999999999994,
0.0019,1.7999999999999998,
0.00191,1.8199999999999998,
0.00192,1.8399999999999999,
0.00193,1.8599999999999999,
0.00194,1.88,
0.00195,1.8999999999999995,
0.00196,1.92,
0.00197,1.94,
0.00198,1.9599999999999995,
0.00199,1.9799999999999995,
0.002,-2,
0.00201,-1.9800000000000004,
0.00202,-1.96,
0.00203,-1.9399999999999995,
0.00204,-1.92,
