Time,V(OUT1),V(NODE4),
0,2.016571642993566e-12,-2,
0.00001,-0.736028540573134,-1.96,
0.00002,-1.4041208764395992,-1.92,
0.00003,-1.8796292678827364,-1.88,
0.00004,-2.1214045790025917,-1.84,
0.00005,-2.1441161855808186,-1.8,
0.00006,-2.0078072712105475,-1.76,
0.00007,-1.7969931523905596,-1.72,
0.00008,-1.5948209823821744,-1.68,
0.00009,-1.4604079181942013,-1.6400000000000001,
0.0001,-1.416018977782839,-1.6,
0.00011,-1.447134034151463,-1.56,
0.00012,-1.514053794494636,-1.52,
0.00013,-1.5700332143938993,-1.48,
0.00014,-1.5792085036320682,-1.44,
0.00015,-1.5282730468957504,-1.4,
0.00016,-1.428567802543774,-1.3599999999999999,
0.00017,-1.3089066154347573,-1.32,
0.00018,-1.2027078410622791,-1.28,
0.00019,-1.1347240825881988,-1.2400000000000002,
0.0002,-1.112339746020121,-1.2,
0.00021,-1.1242973833962797,-1.1600000000000001,
0.00022,-1.1467091690655142,-1.12,
0.00023,-1.1534760974493719,-1.08,
0.00024,-1.126773541089759,-1.04,
0.00025,-1.063537322377008,-1,
0.00026,-0.9756914320092915,-0.9600000000000002,
0.00027,-0.8844227172091528,-0.9199999999999999,
0.00028,-0.8111078528899877,-0.8800000000000001,
0.00029,-0.7686637849770372,-0.8400000000000001,
0.0003,-0.756730765668211,-0.8,
0.00031,-0.7624195389363216,-0.76,
0.00032,-0.7660732283041678,-0.72,
0.00033,-0.7495271897876079,-0.6800000000000002,
0.00034,-0.7034558404052975,-0.6400000000000001,
0.00035,-0.6308862155098677,-0.6000000000000001,
0.00036,-0.5455917666722099,-0.56,
0.00037,-0.4661729889274888,-0.5200000000000002,
0.00038,-0.4083397367746606,-0.4800000000000002,
0.00039,-0.3785653341665434,-0.43999999999999995,
0.0004,-0.3716512112139112,-0.3999999999999999,
0.00041,-0.3731055466792948,-0.3600000000000003,
0.00042,-0.36527587721571886,-0.32000000000000006,
0.00043,-0.3346764286292267,-0.28,
0.00044,-0.2775086604378811,-0.24,
0.00045,-0.20114863553201517,-0.20000000000000018,
0.00046,-0.12103838643743435,-0.15999999999999992,
0.00047,-0.05429005751134628,-0.1200000000000001,
0.00048,-0.012635363496978365,-0.08000000000000007,
0.00049,0.002399638854720491,-0.040000000000000036,
0.0005,0.0001349444811538948,0,
0.00051,-0.0030575787225287938,0.040000000000000036,
0.00052,0.009572149759826004,0.07999999999999963,
0.00053,0.04832432991444709,0.1200000000000001,
0.00054,0.11285455023913454,0.16000000000000014,
0.00055,0.1923304167148747,0.20000000000000018,
0.00056,0.2698870356598791,0.23999999999999977,
0.00057,0.3295734747953186,0.2799999999999998,
0.00058,0.36295443962910906,0.31999999999999984,
0.00059,0.3726527365984305,0.3599999999999999,
0.0006,0.371347983002151,0.3999999999999999,
0.00061,0.37659536747342914,0.43999999999999995,
0.00062,0.40354937632272836,0.48,
0.00063,0.4585685420628661,0.52,
0.00064,0.536363204589252,0.56,
0.00065,0.6219375388005994,0.5999999999999996,
0.00066,0.6966256365428067,0.6399999999999997,
0.00067,0.7458153902622935,0.6800000000000002,
0.00068,0.765195921239631,0.7199999999999998,
0.00069,0.7628872698097098,0.7599999999999998,
0.0007,0.7564351175129368,0.7999999999999998,
0.00071,0.7657458495995983,0.8399999999999999,
0.00072,0.8047569128624297,0.8799999999999999,
0.00073,0.8752683425668603,0.9199999999999999,
0.00074,0.9656064275349968,0.9599999999999995,
0.00075,1.0549050574166567,1,
0.00076,1.1214981695572948,1.0399999999999996,
0.00077,1.1521356684381188,1.0799999999999996,
0.00078,1.148215092077918,1.12,
0.00079,1.1262359291664732,1.1599999999999997,
0.0008,1.111900351888145,1.2000000000000002,
0.00081,1.129870260933445,1.2399999999999998,
0.00082,1.1931213954313273,1.2799999999999994,
0.00083,1.296292810814628,1.3199999999999998,
0.00084,1.4161372268172385,1.3599999999999999,
0.00085,1.519535826701989,1.3999999999999995,
0.00086,1.5765079253578445,1.44,
0.00087,1.5733918597243592,1.4799999999999995,
0.00088,1.520838261766849,1.52,
0.00089,1.4527742487836097,1.5599999999999996,
0.0009,1.415633370672136,1.5999999999999996,
0.00091,1.450823811565974,1.6399999999999997,
0.00092,1.576277764402131,1.6800000000000002,
0.00093,1.7738602791197875,1.7199999999999998,
0.00094,1.9879400540434415,1.7599999999999998,
0.00095,2.1369200328330087,1.7999999999999998,
0.00096,2.1351318893745277,1.8399999999999999,
0.00097,1.91872973562216,1.88,
0.00098,1.467431598092159,1.92,
0.00099,0.8148607578107705,1.9599999999999995,
0.001,0.043621457392268956,-2,
0.00101,-0.7339752056883624,-1.96,
0.00102,-1.4040261270464613,-1.92,
0.00103,-1.8796249103786287,-1.88,
0.00104,-2.1214043787164987,-1.8400000000000007,
0.00105,-2.14411617637587,-1.8000000000000007,
0.00106,-2.0078072707875054,-1.7599999999999998,
0.00107,-1.796993152371118,-1.7200000000000006,
0.00108,-1.594820982381282,-1.6799999999999997,
0.00109,-1.4604079181941598,-1.6400000000000006,
0.0011,-1.4160189777828371,-1.5999999999999996,
0.00111,-1.4471340341514636,-1.5599999999999996,
0.00112,-1.5140537944946344,-1.5200000000000005,
0.00113,-1.5700332143938978,-1.4800000000000004,
0.00114,-1.579208503632068,-1.4400000000000004,
0.00115,-1.5282730468957508,-1.4000000000000004,
0.00116,-1.4285678025437745,-1.3600000000000003,
0.00117,-1.3089066154347575,-1.3200000000000003,
0.00118,-1.2027078410622793,-1.2800000000000002,
0.00119,-1.1347240825882,-1.2400000000000002,
0.0012,-1.1123397460201232,-1.2000000000000002,
0.00121,-1.1242973833962824,-1.160000000000001,
0.00122,-1.146709169065515,-1.12,
0.00123,-1.1534760974493714,-1.080000000000001,
0.00124,-1.1267735410897592,-1.04,
0.00125,-1.0635373223770073,-1,
0.00126,-0.9756914320092903,-0.96,
0.00127,-0.8844227172091518,-0.9199999999999999,
0.00128,-0.8111078528899869,-0.8799999999999999,
0.00129,-0.7686637849770369,-0.8400000000000007,
0.0013,-0.756730765668214,-0.8000000000000007,
0.00131,-0.7624195389363218,-0.7599999999999998,
0.00132,-0.7660732283041687,-0.7200000000000006,
0.00133,-0.7495271897876112,-0.6800000000000006,
0.00134,-0.7034558404052961,-0.6399999999999997,
0.00135,-0.630886215509868,-0.5999999999999996,
0.00136,-0.54559176667221,-0.5600000000000005,
0.00137,-0.46617298892748904,-0.5200000000000005,
0.00138,-0.40833973677465973,-0.4800000000000004,
0.00139,-0.378565334166543,-0.4400000000000013,
0.0014,-0.37165121121390987,-0.40000000000000036,
0.00141,-0.3731055466792958,-0.3600000000000003,
0.00142,-0.3652758772157211,-0.3200000000000003,
0.00143,-0.33467642862922703,-0.27999999999999936,
0.00144,-0.2775086604378798,-0.2400000000000002,
0.00145,-0.20114863553201673,-0.20000000000000107,
0.00146,-0.12103838643743588,-0.16000000000000014,
0.00147,-0.05429005751134665,-0.1200000000000001,
0.00148,-0.012635363496976408,-0.08000000000000096,
0.00149,0.0023996388547243026,-0.040000000000000924,
0.0015,0.00013494448115563648,0,
0.00151,-0.003057578722527457,0.040000000000000036,
0.00152,0.009572149759828539,0.07999999999999918,
0.00153,0.04832432991444594,0.11999999999999922,
0.00154,0.11285455023913374,0.15999999999999925,
0.00155,0.19233041671487192,0.1999999999999993,
0.00156,0.2698870356598794,0.2400000000000002,
0.00157,0.3295734747953163,0.27999999999999936,
0.00158,0.36295443962910556,0.3199999999999994,
0.00159,0.3726527365984291,0.3600000000000003,
0.0016,0.3713479830021497,0.40000000000000036,
0.00161,0.3765953674734296,0.4399999999999995,
0.00162,0.403549376322728,0.47999999999999954,
0.00163,0.4585685420628661,0.5199999999999996,
0.00164,0.5363632045892482,0.5599999999999987,
0.00165,0.6219375388006028,0.5999999999999996,
0.00166,0.6966256365428054,0.6399999999999997,
0.00167,0.7458153902622918,0.6799999999999997,
0.00168,0.7651959212396268,0.7199999999999998,
0.00169,0.7628872698097103,0.7599999999999998,
0.0017,0.7564351175129354,0.7999999999999989,
0.00171,0.7657458495996005,0.8399999999999999,
0.00172,0.8047569128624292,0.8799999999999999,
0.00173,0.8752683425668625,0.919999999999999,
0.00174,0.9656064275349984,0.9599999999999991,
0.00175,1.054905057416658,1,
0.00176,1.1214981695572925,1.04,
0.00177,1.1521356684381174,1.0799999999999992,
0.00178,1.1482150920779166,1.1199999999999992,
0.00179,1.1262359291664727,1.1599999999999993,
0.0018,1.1119003518881436,1.1999999999999993,
0.00181,1.1298702609334448,1.2400000000000002,
0.00182,1.1931213954313267,1.2799999999999994,
0.00183,1.296292810814627,1.3199999999999994,
0.00184,1.4161372268172396,1.3600000000000003,
0.00185,1.5195358267019894,1.4000000000000004,
0.00186,1.5765079253578453,1.4399999999999995,
0.00187,1.5733918597243595,1.4799999999999995,
0.00188,1.5208382617668526,1.5199999999999996,
0.00189,1.4527742487836106,1.5599999999999987,
0.0019,1.4156333706721327,1.5999999999999996,
0.00191,1.4508238115659733,1.6399999999999997,
0.00192,1.5762777644021302,1.6799999999999997,
0.00193,1.7738602791197888,1.7199999999999998,
0.00194,1.9879400540434449,1.7599999999999998,
0.00195,2.136920032833009,1.799999999999999,
0.00196,2.1351318893745286,1.8399999999999999,
0.00197,1.9187297356221646,1.88,
0.00198,1.4674315980921617,1.919999999999999,
0.00199,0.8148607578107797,1.959999999999999,
0.002,0.04362145739227146,-2,
0.00201,-0.7339752056883619,-1.9600000000000009,
0.00202,-1.4040261270464536,-1.92,
0.00203,-1.8796249103786296,-1.879999999999999,
0.00204,-2.121404378716501,-1.8399999999999999,
0.00205,-2.144116176375869,-1.8000000000000007,
0.00206,-2.007807270787499,-1.7599999999999998,
0.00207,-1.7969931523711222,-1.7200000000000024,
0.00208,-1.5948209823812833,-1.6800000000000015,
0.00209,-1.4604079181941643,-1.6400000000000006,
0.0021,-1.4160189777828378,-1.6000000000000014,
0.00211,-1.4471340341514611,-1.5600000000000005,
0.00212,-1.5140537944946353,-1.5199999999999996,
0.00213,-1.5700332143938998,-1.4800000000000004,
0.00214,-1.5792085036320695,-1.4400000000000013,
0.00215,-1.5282730468957502,-1.4000000000000004,
0.00216,-1.4285678025437754,-1.3599999999999994,
0.00217,-1.3089066154347584,-1.3200000000000003,
0.00218,-1.2027078410622816,-1.2800000000000011,
0.00219,-1.1347240825882,-1.2400000000000002,
0.0022,-1.1123397460201234,-1.1999999999999993,
0.00221,-1.1242973833962848,-1.1600000000000001,
0.00222,-1.1467091690655167,-1.1199999999999992,
