Time,V(Out),
0,9.166435978710292e-13,
0.0001,0.48491534109584733,
0.0002,0.8802330303787628,
0.0003,1.121779123722047,
0.0004,1.1939611513752824,
0.0005,1.1301757629819378,
0.0006,0.9977575174131921,
0.0007,0.8719726576687669,
0.0008,0.80891967175796,
0.0009,0.827361583829051,
0.001,0.9058931806559454,
0.0011,0.9958556982447005,
0.0012,1.0443583800596312,
0.0013,1.0179677353157133,
0.0014,0.9175230260691715,
0.0015,0.7781476406553643,
0.0016,0.6544396503182566,
0.0017,0.5967453865729352,
0.0018,0.6280490435723646,
0.0019,0.730931206726479,
0.002,0.8502683651472112,
0.0021,0.9112986828821537,
0.0022,0.8466809286610705,
0.0023,0.6225327295446228,
0.0024,0.2535707555965078,
0.0025,-0.19862737852452567,
0.0026,-0.6440129432105307,
0.0027,-0.9927015859446522,
0.0028,-1.1836308542807752,
0.0029,-1.2030049205593547,
0.003,-1.0860911907415467,
0.0031,-0.9021063216978884,
0.0032,-0.7281433297728964,
0.0033,-0.6220074373272216,
0.0034,-0.6039879019518022,
0.0035,-0.6539711753739251,
0.0036,-0.724309832188816,
0.0037,-0.7628083009120362,
0.0038,-0.7363874949948612,
0.0039,-0.6458877449681156,
0.004,-0.5260801340288088,
0.0041,-0.43086953525477834,
0.0042,-0.40959274585782457,
0.0043,-0.4839438528064581,
0.0044,-0.6349784641351736,
0.0045,-0.8058672444732692,
0.0046,-0.9200221159612378,
0.0047,-0.9082198835272864,
0.0048,-0.7347071580419777,
0.0049,-0.412406822671683,
0.005,-0.0012434802657175254,
0.0051,0.41018781752207384,
0.0052,0.7332055650073445,
0.0053,0.9076567140062185,
0.0054,0.920329182451709,
0.0055,0.806727783749246,
0.0056,0.6359518337882634,
0.0057,0.4846264163695694,
0.0058,0.4097548064911282,
0.0059,0.43051870894736094,
0.006,0.5254306528451699,
0.0061,0.6452515922293228,
0.0062,0.7360330210863344,
0.0063,0.7628437029394622,
0.0064,0.7246382163270982,
0.0065,0.6543350940938811,
0.0066,0.6040854881251323,
0.0067,0.6216334300475611,
0.0068,0.7272976213668991,
0.0069,0.9010243884929056,
0.007,1.085180515122755,
0.0071,1.2027079210402092,
0.0072,1.1842639374599648,
0.0073,0.994330462598136,
0.0074,0.6464120928541992,
0.0075,0.20134096271684573,
0.0076,-0.2510866758752265,
0.0077,-0.6207370014262563,
0.0078,-0.8458049834260537,
0.0079,-0.911285413263931,
0.008,-0.8508123559859699,
0.0081,-0.7316030294999017,
0.0082,-0.6284557442617731,
0.0083,-0.5966670409182007,
0.0084,-0.6538923908209422,
0.0085,-0.7773526581235237,
0.0086,-0.9167974582815391,
0.0087,-1.017583100230262,
0.0088,-1.0444239432566478,
0.0089,-0.9962734974244891,
0.009,-0.9064026007167716,
0.0091,-0.8276556031849451,
0.0092,-0.8087860707590042,
0.0093,-0.871402812129138,
0.0094,-0.9969771310805456,
0.0095,-1.1295816357930277,
0.0096,-1.193984487957459,
0.0097,-1.1227249825900834,
0.0098,-0.8821560340971177,
0.0099,-0.4875760257753575,
0.01,-0.0014701039229358932,
0.0101,0.4849118015673494,
0.0102,0.880233022367233,
0.0103,1.1217791237042798,
0.0104,1.193961151375247,
0.0105,1.1301757629819384,
0.0106,0.9977575174131946,
0.0107,0.8719726576687681,
0.0108,0.8089196717579592,
0.0109,0.8273615838290477,
0.011,0.9058931806559429,
0.0111,0.9958556982447002,
0.0112,1.0443583800596317,
0.0113,1.0179677353157144,
0.0114,0.9175230260691732,
0.0115,0.7781476406553652,
0.0116,0.6544396503182589,
0.0117,0.5967453865729345,
0.0118,0.6280490435723635,
