Time,V(NODE2),
0,0,
0.00001,-1.96,
0.00002,-1.92,
0.00003,-1.88,
0.00004,-1.84,
0.00005,-1.8,
0.00006,-1.76,
0.00007,-1.72,
0.00008,-1.68,
0.00009,-1.6400000000000001,
0.0001,-1.6,
0.00011,-1.56,
0.00012,-1.52,
0.00013,-1.48,
0.00014,-1.44,
0.00015,-1.4,
0.00016,-1.3599999999999999,
0.00017,-1.32,
0.00018,-1.28,
0.00019,-1.2400000000000002,
0.0002,-1.2,
0.00021,-1.1600000000000001,
0.00022,-1.12,
0.00023,-1.08,
0.00024,-1.04,
0.00025,-1,
0.00026,-0.9600000000000002,
0.00027,-0.9199999999999999,
0.00028,-0.8800000000000001,
0.00029,-0.8400000000000001,
0.0003,-0.8,
0.00031,-0.76,
0.00032,-0.72,
0.00033,-0.6800000000000002,
0.00034,-0.6400000000000001,
0.00035,-0.6000000000000001,
0.00036,-0.56,
0.00037,-0.5200000000000002,
0.00038,-0.4800000000000002,
0.00039,-0.43999999999999995,
0.0004,-0.3999999999999999,
0.00041,-0.3600000000000003,
0.00042,-0.32000000000000006,
0.00043,-0.28,
0.00044,-0.24,
0.00045,-0.20000000000000018,
0.00046,-0.15999999999999992,
0.00047,-0.1200000000000001,
0.00048,-0.08000000000000007,
0.00049,-0.040000000000000036,
0.0005,0,
0.00051,0.040000000000000036,
0.00052,0.07999999999999963,
0.00053,0.1200000000000001,
0.00054,0.16000000000000014,
0.00055,0.20000000000000018,
0.00056,0.23999999999999977,
0.00057,0.2799999999999998,
0.00058,0.31999999999999984,
0.00059,0.3599999999999999,
0.0006,0.3999999999999999,
0.00061,0.43999999999999995,
0.00062,0.48,
0.00063,0.52,
0.00064,0.56,
0.00065,0.5999999999999996,
0.00066,0.6399999999999997,
0.00067,0.6800000000000002,
0.00068,0.7199999999999998,
0.00069,0.7599999999999998,
0.0007,0.7999999999999998,
0.00071,0.8399999999999999,
0.00072,0.8799999999999999,
0.00073,0.9199999999999999,
0.00074,0.9599999999999995,
0.00075,1,
0.00076,1.0399999999999996,
0.00077,1.0799999999999996,
0.00078,1.12,
0.00079,1.1599999999999997,
0.0008,1.2000000000000002,
0.00081,1.2399999999999998,
0.00082,1.2799999999999994,
0.00083,1.3199999999999998,
0.00084,1.3599999999999999,
0.00085,1.3999999999999995,
0.00086,1.44,
0.00087,1.4799999999999995,
0.00088,1.52,
0.00089,1.5599999999999996,
0.0009,1.5999999999999996,
0.00091,1.6399999999999997,
0.00092,1.6800000000000002,
0.00093,1.7199999999999998,
0.00094,1.7599999999999998,
0.00095,1.7999999999999998,
0.00096,1.8399999999999999,
0.00097,1.88,
0.00098,1.92,
0.00099,1.9599999999999995,
0.001,-2,
0.00101,-1.96,
0.00102,-1.92,
0.00103,-1.88,
0.00104,-1.8400000000000007,
0.00105,-1.8000000000000007,
0.00106,-1.7599999999999998,
0.00107,-1.7200000000000006,
0.00108,-1.6799999999999997,
0.00109,-1.6400000000000006,
0.0011,-1.5999999999999996,
0.00111,-1.5599999999999996,
0.00112,-1.5200000000000005,
0.00113,-1.4800000000000004,
0.00114,-1.4400000000000004,
0.00115,-1.4000000000000004,
0.00116,-1.3600000000000003,
0.00117,-1.3200000000000003,
0.00118,-1.2800000000000002,
0.00119,-1.2400000000000002,
0.0012,-1.2000000000000002,
0.00121,-1.160000000000001,
0.00122,-1.12,
0.00123,-1.080000000000001,
0.00124,-1.04,
0.00125,-1,
0.00126,-0.96,
0.00127,-0.9199999999999999,
0.00128,-0.8799999999999999,
0.00129,-0.8400000000000007,
0.0013,-0.8000000000000007,
0.00131,-0.7599999999999998,
0.00132,-0.7200000000000006,
0.00133,-0.6800000000000006,
0.00134,-0.6399999999999997,
0.00135,-0.5999999999999996,
0.00136,-0.5600000000000005,
0.00137,-0.5200000000000005,
0.00138,-0.4800000000000004,
0.00139,-0.4400000000000013,
0.0014,-0.40000000000000036,
0.00141,-0.3600000000000003,
0.00142,-0.3200000000000003,
0.00143,-0.27999999999999936,
0.00144,-0.2400000000000002,
0.00145,-0.20000000000000107,
0.00146,-0.16000000000000014,
0.00147,-0.1200000000000001,
0.00148,-0.08000000000000096,
0.00149,-0.040000000000000924,
0.0015,0,
0.00151,0.040000000000000036,
0.00152,0.07999999999999918,
0.00153,0.11999999999999922,
0.00154,0.15999999999999925,
0.00155,0.1999999999999993,
0.00156,0.2400000000000002,
0.00157,0.27999999999999936,
0.00158,0.3199999999999994,
0.00159,0.3600000000000003,
0.0016,0.40000000000000036,
0.00161,0.4399999999999995,
0.00162,0.47999999999999954,
0.00163,0.5199999999999996,
0.00164,0.5599999999999987,
0.00165,0.5999999999999996,
0.00166,0.6399999999999997,
0.00167,0.6799999999999997,
0.00168,0.7199999999999998,
0.00169,0.7599999999999998,
0.0017,0.7999999999999989,
0.00171,0.8399999999999999,
0.00172,0.8799999999999999,
0.00173,0.919999999999999,
0.00174,0.9599999999999991,
0.00175,1,
0.00176,1.04,
0.00177,1.0799999999999992,
0.00178,1.1199999999999992,
0.00179,1.1599999999999993,
0.0018,1.1999999999999993,
0.00181,1.2400000000000002,
0.00182,1.2799999999999994,
0.00183,1.3199999999999994,
0.00184,1.3600000000000003,
0.00185,1.4000000000000004,
0.00186,1.4399999999999995,
0.00187,1.4799999999999995,
0.00188,1.5199999999999996,
0.00189,1.5599999999999987,
0.0019,1.5999999999999996,
0.00191,1.6399999999999997,
0.00192,1.6799999999999997,
0.00193,1.7199999999999998,
0.00194,1.7599999999999998,
0.00195,1.799999999999999,
0.00196,1.8399999999999999,
