Time,V(Out4),
0,0.00047399967357411626,
0.000005,-0.02734418858989363,
0.00001,-0.058328482518435386,
0.000015,-0.08961165774575379,
0.00002,-0.12084406400880264,
0.000025,-0.15196013042811385,
0.00003,-0.18292525150059605,
0.000035,-0.2137085238954674,
0.00004,-0.24427970408040744,
0.000045,-0.2746088730137069,
0.00005,-0.30466640115357657,
0.000055,-0.33442294365061104,
0.00006,-0.3638494376609919,
0.000065,-0.3929171013089851,
0.00007,-0.4215974368024642,
0.000075,-0.4498622401276613,
0.00008,-0.4776836191124313,
0.000085,-0.505034292656231,
0.00009,-0.531886606721178,
0.000095,-0.5582134889255587,
0.0001,-0.5839893174024703,
0.000105,-0.6091888816490968,
0.00011,-0.6337860022953893,
0.000115,-0.6577564238083432,
0.00012,-0.6810763415110053,
0.000125,-0.7037226463435186,
0.00013,-0.725672988116972,
0.000135,-0.7469058013748245,
0.00014,-0.7674003176224615,
0.000145,-0.7871365676965716,
0.00015,-0.8060953763795369,
0.000155,-0.8242583517585085,
0.00016,-0.8416078722380365,
0.000165,-0.8581270742676085,
0.00017,-0.873799843699909,
0.000175,-0.888610813263337,
0.00018,-0.902545367955389,
0.000185,-0.9155896593081835,
0.00019,-0.9277306285275144,
0.000195,-0.9389560375553997,
0.0002,-0.9492545062463906,
0.000205,-0.9586155531641201,
0.00021,-0.9670296370637447,
0.000215,-0.9744881959713012,
0.00022,-0.980983680917775,
0.000225,-0.9865095818195794,
0.00023,-0.991060443675809,
0.000235,-0.9946318721096779,
0.00024,-0.9972205282332197,
0.000245,-0.9988241137675081,
0.00025,-0.9994413482121746,
0.000255,-0.9990719405435841,
0.00026,-0.9977165583636861,
0.000265,-0.9953767975780301,
0.00027,-0.9920551555365108,
0.000275,-0.9877550101383544,
0.00028,-0.9824806067260712,
0.000285,-0.9762370537379075,
0.00029,-0.9690303271385503,
0.000295,-0.9608672826965142,
0.0003,-0.9517556743170105,
0.000305,-0.9417041759553708,
0.00031,-0.9307224041953187,
0.000315,-0.9188209384217609,
0.00032,-0.9060113356645514,
0.000325,-0.8923061376235761,
0.00033,-0.8777188680641188,
0.000335,-0.8622640196284838,
0.00034,-0.8459570300614249,
0.000345,-0.8288142488000426,
0.00035,-0.8108528957402078,
0.000355,-0.7920910146770358,
0.00036,-0.7725474243594426,
0.000365,-0.7522416702551359,
0.00037,-0.731193979977275,
0.000375,-0.7094252248917977,
0.00038,-0.6869568897474089,
0.000385,-0.6638110513147936,
0.00039,-0.6400103660716049,
0.000395,-0.6155780660181794,
0.0004,-0.590537960849024,
0.000405,-0.5649144440210994,
0.00041,-0.5387324998188252,
0.000415,-0.5120177083607939,
0.00042,-0.48479624563961193,
0.000425,-0.45709487611982996,
0.00043,-0.4289409360972018,
0.000435,-0.4003623068792032,
0.00044,-0.3713873777977285,
0.000445,-0.3420450000165395,
0.00045,-0.31236443295748556,
0.000455,-0.2823752858600648,
0.00046,-0.25210745742833124,
0.000465,-0.2215910766622673,
0.00047,-0.19085644783367384,
0.000475,-0.15993400214672418,
0.00048,-0.1288542579364116,
0.000485,-0.09764779039626027,
0.00049,-0.06634521088383057,
0.000495,-0.03497715492399585,
0.0005,-0.0035742773052688213,
0.000505,0.027832747405276075,
0.00051,0.0592132236764757,
0.000515,0.0905364497157321,
0.00052,0.12177171051709765,
0.000525,0.15288827090822302,
0.00053,0.1838554192184664,
0.000535,0.21464249842825806,
0.00054,0.24521894068101593,
0.000545,0.27555431471553565,
0.00055,0.3056183812816819,
0.000555,0.33538115277485964,
0.00056,0.36481295405822245,
0.000565,0.3938844814168791,
0.00057,0.42256685670101524,
0.000575,0.45083167415864966,
0.00058,0.47865103816918814,
0.000585,0.5059975909315013,
0.00059,0.5328445301247624,
0.000595,0.5591656175762951,
0.0006,0.5849351803900463,
0.000605,0.6101281061031265,
0.00061,0.6347198354305212,
0.000615,0.6586863570571908,
0.00062,0.6820042066761155,
0.000625,0.7046504718841728,
0.00063,0.7266028049347978,
0.000635,0.7478394445682495,
0.00064,0.7683392469509218,
0.000645,0.7880817247332835,
0.00065,0.807047092390567,
0.000655,0.8252163153421858,
0.00066,0.8425711599017434,
0.000665,0.8590942409253665,
0.00067,0.8747689598882876,
0.000675,0.8895767217147927,
0.00068,0.9013093314226286,
0.000685,0.8547248897793208,
0.00069,0.8511290982203239,
0.000695,0.8511207791733504,
0.0007,0.8510886826489787,
0.000705,0.8749187731864374,
0.00071,0.9094609363554271,
0.000715,0.946220004604406,
0.00072,0.9848818033859804,
0.000725,1.0218943120655046,
0.00073,1.0535459675713097,
0.000735,1.0730823987903222,
0.00074,1.0774957260214697,
0.000745,1.0793151517703774,
0.00075,1.0721910505461876,
0.000755,1.0462793992349126,
0.00076,1.0079529703014385,
0.000765,0.9664518384357663,
0.00077,0.9191009755286682,
0.000775,0.9097864046264998,
0.00078,0.9039363282133241,
0.000785,0.89762125005683,
0.00079,0.8903992424112587,
0.000795,0.8822265641436479,
0.0008,0.873105746767609,
0.000805,0.8630454406805356,
0.00081,0.8520557982482954,
0.000815,0.8401479116467994,
0.00082,0.827333716962138,
0.000825,0.8243059157892979,
0.00083,0.8364773990665932,
0.000835,0.8419266800117494,
0.00084,0.836752681114694,
0.000845,0.8193115913875096,
0.00085,0.7892036279666798,
0.000855,0.7472310804407932,
0.00086,0.6977433126172047,
0.000865,0.6740300468581716,
0.00087,0.6525934502421358,
0.000875,0.6307779028170366,
0.00088,0.6082999901217229,
0.000885,0.6530302023819818,
0.00089,0.639585645513478,
0.000895,0.6163292703026144,
